name,company,ideal_for,category,rating,ratings_count,reviews_count,actual_price,discounted_price,discount_percentage
Men Printed Round Neck Polyester Green T-Shirt,VeBNoR,men,tshirts,3.9,28072.0,1686.0,999,259,74
"Pack of 2 Men Printed Round Neck Polyester Pink, Dark Green T-Shirt",KAJARU,men,tshirts,3.8,88910.0,4717.0,1899,359,81
Men Solid Polo Neck Cotton Blend Black T-Shirt,Allen Solly,men,tshirts,4.3,21430.0,1144.0,1099,736,33
"Men Printed Round Neck Polyester White, Black T-Shirt",sti,men,tshirts,3.9,72975.0,5613.0,999,191,80
"Pack of 4 Men Solid Round Neck Polyester Black, Blue, Grey T-Shirt",VeBNoR,men,tshirts,3.9,4335.0,164.0,999,399,60
Men Colorblock Polo Neck Poly Cotton Green T-Shirt,DyrectDeals,men,tshirts,3.9,15335.0,710.0,1299,299,76
Men Printed Round Neck Pure Cotton White T-Shirt,BUKKL,men,tshirts,4.0,11544.0,558.0,1999,299,85
Men Striped Polo Neck Polyester Grey T-Shirt,FTX,men,tshirts,4.0,485.0,115.0,1109,299,73
Men Striped Henley Neck Cotton Blend Green T-Shirt,Roadster,men,tshirts,4.8,5.0,0.0,999,400,59
Men Solid Polo Neck Cotton Blend Black T-Shirt,Allen Solly,men,tshirts,4.3,21430.0,1144.0,1099,736,33
"Men Printed Round Neck Polyester Black, Red T-Shirt",KAJARU,men,tshirts,3.9,5342.0,159.0,1399,189,86
Men Printed Round Neck Polyester Light Blue T-Shirt,VeBNoR,men,tshirts,3.9,28072.0,1686.0,999,259,74
Men Printed Round Neck Polyester Green T-Shirt,VeBNoR,men,tshirts,3.9,28072.0,1686.0,999,259,74
Men Solid Round Neck Cotton Blend Black T-Shirt,London Hills,men,tshirts,3.9,28451.0,1880.0,1299,249,80
Men Striped Polo Neck Cotton Blend Blue T-Shirt,Roadster,men,tshirts,4.0,5.0,0.0,1499,600,59
Men Printed Round Neck Polyester Light Blue T-Shirt,VeBNoR,men,tshirts,3.9,28072.0,1686.0,999,259,74
Men Solid Polo Neck Cotton Blend Black T-Shirt,Allen Solly,men,tshirts,4.3,21430.0,1144.0,1099,736,33
"Pack of 4 Men Solid Round Neck Polyester Silver, Blue, Black, Grey T-Shirt",FTX,men,tshirts,4.0,180832.0,11837.0,1499,459,69
Men Solid Polo Neck Cotton Blend (220 gsm) Green T-Shirt,3BROS,men,tshirts,4.1,207383.0,14561.0,999,359,64
Pack of 2 Printed Men Round Neck Cotton Blend Multicolor T-Shirt,Billion,men,tshirts,3.5,716.0,26.0,1299,275,78
Men Printed Round Neck Polyester Grey T-Shirt,VeBNoR,men,tshirts,3.7,76913.0,4175.0,999,259,74
"Pack of 2 Men Printed Round Neck Polyester Light Green, Dark Green T-Shirt",KAJARU,men,tshirts,3.8,88910.0,4717.0,1899,359,81
Pack of 4 Men Solid Round Neck Polyester Multicolor T-Shirt,VeBNoR,men,tshirts,3.9,4335.0,164.0,999,399,60
Men Printed Round Neck Polyester Multicolor T-Shirt,sti,men,tshirts,3.8,16339.0,964.0,1499,191,87
Solid Men Polo Neck Poly Cotton Black T-Shirt,METRONAUT By Flipkart,men,tshirts,3.7,22641.0,1305.0,1999,299,85
"Pack of 4 Men Solid Round Neck Polyester Silver, Blue, Black, Grey T-Shirt",FTX,men,tshirts,4.0,180832.0,11837.0,1499,459,69
Men Printed Mandarin Collar Polyester Blue T-Shirt,dhaari by unique creation,men,tshirts,4.0,725.0,14.0,1199,289,75
Men Printed Round Neck Pure Cotton White T-Shirt,BUKKL,men,tshirts,4.0,11544.0,558.0,1999,299,85
Men Checkered Hooded Neck Cotton Blend Blue T-Shirt,EyeBogler,men,tshirts,3.8,17077.0,712.0,2499,299,88
Pack of 3 Printed Men Round Neck Cotton Blend Multicolor T-Shirt,Billion,men,tshirts,3.4,16.0,0.0,2199,505,77
"Pack of 2 Solid Men Polo Neck Poly Cotton Black, Maroon T-Shirt",METRONAUT By Flipkart,men,tshirts,3.8,11730.0,813.0,2099,489,76
"Pack of 2 Men Printed Round Neck Polyester Pink, Grey T-Shirt",KAJARU,men,tshirts,3.8,88910.0,4717.0,1899,359,81
