name,company,ideal_for,category,rating,ratings_count,reviews_count,actual_price,discounted_price,discount_percentage
Men Printed Round Neck Polyester Green T-Shirt,VeBNoR ,men,tshirts,3.9,"28,072","1,686",₹999,₹259,74%
"Pack of 2 Men Printed Round Neck Polyester Pink, Dark Green T-Shirt",KAJARU ,men,tshirts,3.8,"88,910","4,717","₹1,899",₹359,81%
Men Solid Polo Neck Cotton Blend Black T-Shirt,Allen Solly ,men,tshirts,4.3,"21,430","1,144","₹1,099",₹736,33%
"Men Printed Round Neck Polyester White, Black T-Shirt",sti ,men,tshirts,3.9,"72,975","5,613",₹999,₹191,80%
"Pack of 4 Men Solid Round Neck Polyester Black, Blue, Grey T-Shirt",VeBNoR ,men,tshirts,3.9,"4,335",164,₹999,₹399,60%
Men Colorblock Polo Neck Poly Cotton Green T-Shirt,DyrectDeals ,men,tshirts,3.9,"15,335",710,"₹1,299",₹299,76%
Men Printed Round Neck Pure Cotton White T-Shirt,BUKKL ,men,tshirts,4,"11,544",558,"₹1,999",₹299,85%
Men Striped Polo Neck Polyester Grey T-Shirt,FTX ,men,tshirts,4,485,115,"₹1,109",₹299,73%
Men Striped Henley Neck Cotton Blend Green T-Shirt,Roadster ,men,tshirts,4.8,5,0,₹999,₹400,59%
Men Solid Polo Neck Cotton Blend Black T-Shirt,Allen Solly ,men,tshirts,4.3,"21,430","1,144","₹1,099",₹736,33%
"Men Printed Round Neck Polyester Black, Red T-Shirt",KAJARU ,men,tshirts,3.9,"5,342",159,"₹1,399",₹189,86%
Men Printed Round Neck Polyester Light Blue T-Shirt,VeBNoR ,men,tshirts,3.9,"28,072","1,686",₹999,₹259,74%
Men Printed Round Neck Polyester Green T-Shirt,VeBNoR ,men,tshirts,3.9,"28,072","1,686",₹999,₹259,74%
Men Solid Round Neck Cotton Blend Black T-Shirt,London Hills ,men,tshirts,3.9,"28,451","1,880","₹1,299",₹249,80%
Men Striped Polo Neck Cotton Blend Blue T-Shirt,Roadster ,men,tshirts,4,5,0,"₹1,499",₹600,59%
Men Printed Round Neck Polyester Light Blue T-Shirt,VeBNoR ,men,tshirts,3.9,"28,072","1,686",₹999,₹259,74%
Men Solid Polo Neck Cotton Blend Black T-Shirt,Allen Solly ,men,tshirts,4.3,"21,430","1,144","₹1,099",₹736,33%
"Pack of 4 Men Solid Round Neck Polyester Silver, Blue, Black, Grey T-Shirt",FTX ,men,tshirts,4,"1,80,832","11,837","₹1,499",₹459,69%
Men Solid Polo Neck Cotton Blend (220 gsm) Green T-Shirt,3BROS ,men,tshirts,4.1,"2,07,383","14,561",₹999,₹359,64%
Pack of 2 Printed Men Round Neck Cotton Blend Multicolor T-Shirt,Billion ,men,tshirts,3.5,716,26,"₹1,299",₹275,78%
Men Printed Round Neck Polyester Grey T-Shirt,VeBNoR ,men,tshirts,3.7,"76,913","4,175",₹999,₹259,74%
"Pack of 2 Men Printed Round Neck Polyester Light Green, Dark Green T-Shirt",KAJARU ,men,tshirts,3.8,"88,910","4,717","₹1,899",₹359,81%
Pack of 4 Men Solid Round Neck Polyester Multicolor T-Shirt,VeBNoR ,men,tshirts,3.9,"4,335",164,₹999,₹399,60%
Men Printed Round Neck Polyester Multicolor T-Shirt,sti ,men,tshirts,3.8,"16,339",964,"₹1,499",₹191,87%
Solid Men Polo Neck Poly Cotton Black T-Shirt,METRONAUT By Flipkart ,men,tshirts,3.7,"22,641","1,305","₹1,999",₹299,85%
"Pack of 4 Men Solid Round Neck Polyester Silver, Blue, Black, Grey T-Shirt",FTX ,men,tshirts,4,"1,80,832","11,837","₹1,499",₹459,69%
Men Printed Mandarin Collar Polyester Blue T-Shirt,dhaari by unique creation ,men,tshirts,4,725,14,"₹1,199",₹289,75%
Men Printed Round Neck Pure Cotton White T-Shirt,BUKKL ,men,tshirts,4,"11,544",558,"₹1,999",₹299,85%
Men Checkered Hooded Neck Cotton Blend Blue T-Shirt,EyeBogler ,men,tshirts,3.8,"17,077",712,"₹2,499",₹299,88%
Pack of 3 Printed Men Round Neck Cotton Blend Multicolor T-Shirt,Billion ,men,tshirts,3.4,16,0,"₹2,199",₹505,77%
"Pack of 2 Solid Men Polo Neck Poly Cotton Black, Maroon T-Shirt",METRONAUT By Flipkart ,men,tshirts,3.8,"11,730",813,"₹2,099",₹489,76%
"Pack of 2 Men Printed Round Neck Polyester Pink, Grey T-Shirt",KAJARU ,men,tshirts,3.8,"88,910","4,717","₹1,899",₹359,81%
"Men Colorblock Round Neck Pure Cotton White, Navy Blue T-Shirt",Lauren Adams ,men,tshirts,4,"8,665",452,"₹1,499",₹389,74%
Men Solid Round Neck Pure Cotton White T-Shirt,BEING WANTED ,men,tshirts,3.9,"4,330",184,₹999,₹223,77%
"Men Printed, Typography Round Neck Pure Cotton White T-Shirt",Magneto ,men,tshirts,3.9,"2,357",82,"₹1,499",₹299,80%
Men Graphic Print Round Neck Cotton Blend Blue T-Shirt,PATOIS ,men,tshirts,Unknown,Unknown,Unknown,"₹1,299",₹272,79%
Men Printed Round Neck Polyester Blue T-Shirt,E-MAX ,men,tshirts,4,"7,346",388,"₹1,299",₹359,72%
Men Graphic Print Polo Neck Cotton Blend Multicolor T-Shirt,The Souled Store ,men,tshirts,4.2,15,2,"₹1,499","₹1,199",20%
"Men Printed Round Neck Polyester Black, Yellow T-Shirt",sti ,men,tshirts,3.9,"72,975","5,613",₹999,₹191,80%
"Pack of 4 Men Solid Round Neck Polyester Black, Blue, Grey, Maroon T-Shirt",VeBNoR ,men,tshirts,3.9,"4,335",164,₹999,₹399,60%
Men Printed Round Neck Polyester Green T-Shirt,VeBNoR ,men,tshirts,3.9,"28,072","1,686",₹999,₹259,74%
"Pack of 2 Men Printed Round Neck Polyester Pink, Dark Green T-Shirt",KAJARU ,men,tshirts,3.8,"88,910","4,717","₹1,899",₹359,81%
Men Printed Round Neck Polyester Grey T-Shirt,VeBNoR ,men,tshirts,4,"27,397","1,520",₹999,₹199,80%
Men Striped Polo Neck Cotton Blend Pink T-Shirt,Pyro Spirit ,men,tshirts,3.1,10,0,"₹1,299",₹322,75%
Men Printed V Neck Cotton Blend Grey T-Shirt,Roadster ,men,tshirts,3.8,660,57,₹599,₹300,49%
